time,angle
0,0.789618653395098
0.00666666666666667,0.7833159368911
0.0133333333333333,0.760863946442551
0.02,0.721422909892723
0.0266666666666667,0.666477660252256
0.0333333333333333,0.599906812401778
0.04,0.527503416620873
0.0466666666666667,0.456010427218348
0.0533333333333333,0.391892400524138
0.06,0.34016319888019
0.0666666666666667,0.303579513359623
0.0733333333333333,0.282388395347662
0.08,0.274635987842851
0.0866666666666667,0.276883937366216
0.0933333333333333,0.285096215375215
0.1,0.295461494753686
0.106666666666667,0.304982934071081
0.113333333333333,0.311766089848235
0.12,0.315029376939936
0.126666666666667,0.3149179313393
0.133333333333333,0.312213167990125
0.14,0.308014374676119
0.146666666666667,0.303447556555455
0.153333333333333,0.299440143350602
0.16,0.296585595279334
0.166666666666667,0.295104793920823
0.173333333333333,0.294892156214754
0.18,0.295618914478618
0.186666666666667,0.296858122933555
0.193333333333333,0.298196640359903
0.2,0.299308720270754
0.206666666666667,0.299983000598713
0.213333333333333,0.300113865733574
0.22,0.299679434869156
0.226666666666666,0.298725521210356
0.233333333333333,0.297361558771609
0.24,0.295761509923285
0.246666666666666,0.294158365768717
0.253333333333333,0.292824788168314
0.26,0.292039240317705
0.266666666666666,0.292042368500616
0.273333333333333,0.292991328949448
0.28,0.294920339803275
0.286666666666666,0.297714653497094
0.293333333333333,0.301103774916953
0.3,0.304678527521837
0.306666666666666,0.307934154912669
0.313333333333333,0.310337557907247
0.32,0.311412621929915
0.326666666666666,0.310833819591344
0.333333333333333,0.308512738341815
0.34,0.304654807810897
0.346666666666666,0.299759955661653
0.353333333333333,0.294549013996472
0.36,0.289819979739924
0.366666666666666,0.286267213094886
0.373333333333333,0.284317096453849
0.38,0.284032723963911
0.386666666666666,0.285117375786571
0.393333333333333,0.287013252252427
